Title,Author,Journal,Year,Added by,Added at,Status
Proactive Auto-Scaling Approach of Production Applications Using an Ensemble Model,"Samir, Mohamed and Wassif, Khaled T. and Makady, Soha H.",IEEE Access,2023,Marcelo Pinto,07 Feb 2024 18:02:30,Rejected
A DevSecOps-enabled Framework for Risk Management of Critical Infrastructures,"Ramaj, Xhesika",,2022,Marcelo Pinto,07 Feb 2024 18:02:30,Rejected
A solution on cloud and digital transformation for IT system using DevOps yundao platform,"Shi, Lanying and Yao, Wensheng and Chen, Mengxia and Liang, Huan and Chen, Yong and Yang, Chengwei and Jiang, Yiquan and Tong, Jiangang and Li, Man and Chen, Chunhua and Qiao, Hongming and Yu, Kefeng",,2022,Marcelo Pinto,07 Feb 2024 18:02:30,Accepted
Konveyor Move2Kube: A Framework For Automated Application Replatforming,"Seshadri, Padmanabha V. and Balagopal, Harikrishnan and Nayak, Akash and Kumar, Ashok Pon and Loyola, Pablo",,2022,Marcelo Pinto,07 Feb 2024 18:02:30,Accepted
Cloud Reliability,"Izrailevsky, Yury and Bell, Charlie",IEEE Cloud Computing,2018,Marcelo Pinto,07 Feb 2024 18:02:30,Duplicated
Within-Project Defect Prediction of Infrastructure-as-Code Using Product and Process Metrics,"Dalla Palma, Stefano and Di Nucci, Dario and Palomba, Fabio and Tamburri, Damian A.",IEEE Transactions on Software Engineering,2022,Marcelo Pinto,07 Feb 2024 18:02:30,Duplicated
A Machine Learning Based Monitoring Framework for Side-Channel Information Leaks,"Lescisin, Michael and Mahmoud, Qusay H.",IEEE Open Journal of the Computer Society,2021,Marcelo Pinto,07 Feb 2024 18:02:30,Duplicated
Architecting Digital Twins,"Ferko, Enxhi and Bucaioni, Alessio and Behnam, Moris",IEEE Access,2022,Marcelo Pinto,07 Feb 2024 18:02:30,Duplicated
A Survey on Observability of Distributed Edge & Container-Based Microservices,"Usman, Muhammad and Ferlin, Simone and Brunstrom, Anna and Taheri, Javid",IEEE Access,2022,Marcelo Pinto,07 Feb 2024 18:02:30,Duplicated
Prioritization Based Taxonomy of DevOps Challenges Using Fuzzy AHP Analysis,"Akbar, Muhammad Azeem and Naveed, Wishal and Mahmood, Sajjad and Alsanad, Abeer Abdulaziz and Alsanad, Ahmed and Gumaei, Abdu and Mateen, Ahmed",IEEE Access,2020,Marcelo Pinto,07 Feb 2024 18:02:30,Duplicated
Applying and Researching DevOps: A Tertiary Study,"Arvanitou, Elvira Maria and Ampatzoglou, Apostolos and Bibi, Stamatia and Chatzigeorgiou, Alexander and Deligiannis, Ignatios",IEEE Access,2022,Marcelo Pinto,07 Feb 2024 18:02:30,Duplicated
Toward Successful DevOps: A Decision-Making Framework,"Akbar, Muhammad Azeem and Rafi, Saima and Alsanad, Abeer Abdulaziz and Qadri, Syed Furqan and Alsanad, Ahmed and Alothaim, Abdulrahman",IEEE Access,2022,Marcelo Pinto,07 Feb 2024 18:02:30,Duplicated
A Systematic Framework for Addressing Critical Challenges in Adopting DevOps Culture in Software Development: A PLS-SEM Perspective,"Khattak, Kausar-Nasreen and Qayyum, Faiza and Naqvi, Syed Shehryar Ali and Mehmood, Asif and Kim, Jungsuk",IEEE Access,2023,Marcelo Pinto,07 Feb 2024 18:02:30,Duplicated
"Embracing IaC Through the DevSecOps Philosophy: Concepts, Challenges, and a Reference Framework","Alonso, Juncal and Piliszek, Radosław and Cankar, Matija",IEEE Software,2023,Marcelo Pinto,07 Feb 2024 18:02:30,Duplicated
Toward the Observability of Cloud-Native Applications: The Overview of the State-of-the-Art,"Kosińska, Joanna and Baliś, Bartosz and Konieczny, Marek and Malawski, Maciej and Zieliński, Sławomir",IEEE Access,2023,Marcelo Pinto,07 Feb 2024 13:06:31,Duplicated
Proactive Auto-Scaling Approach of Production Applications Using an Ensemble Model,"Samir, Mohamed and Wassif, Khaled T. and Makady, Soha H.",IEEE Access,2023,Marcelo Pinto,07 Feb 2024 13:06:31,Duplicated
A Cloud-Based Framework for Machine Learning Workloads and Applications,"López García, Álvaro and De Lucas, Jesús Marco and Antonacci, Marica and Zu Castell, Wolfgang and David, Mario and Hardt, Marcus and Lloret Iglesias, Lara and Moltó, Germán and Plociennik, Marcin and Tran, Viet and Alic, Andy S. and Caballer, Miguel and Plasencia, Isabel Campos and Costantini, Alessandro and Dlugolinsky, Stefan and Duma, Doina Cristina and Donvito, Giacinto and Gomes, Jorge and Heredia Cacha, Ignacio and Ito, Keiichi and Kozlov, Valentin Y. and Nguyen, Giang and Orviz Fernández, Pablo and Šustr, Zděnek and Wolniewicz, Pawel",IEEE Access,2020,Marcelo Pinto,07 Feb 2024 13:06:31,Duplicated
Context-Aware Software Vulnerability Classification Using Machine Learning,"Siewruk, Grzegorz and Mazurczyk, Wojciech",IEEE Access,2021,Marcelo Pinto,07 Feb 2024 13:06:31,Duplicated
SmartX Multi-Sec: A Visibility-Centric Multi-Tiered Security Framework for Multi-Site Cloud-Native Edge Clusters,"Shin, Jun-Sik and Kim, Jongwon",IEEE Access,2021,Marcelo Pinto,07 Feb 2024 13:06:31,Duplicated
Toward the Observability of Cloud-Native Applications: The Overview of the State-of-the-Art,"Kosińska, Joanna and Baliś, Bartosz and Konieczny, Marek and Malawski, Maciej and Zieliński, Sławomir",IEEE Access,2023,Marcelo Pinto,07 Feb 2024 18:02:30,Rejected
Self-Service Cybersecurity Monitoring as Enabler for DevSecOps,"Díaz, Jessica and Pérez, Jorge E. and Lopez-Peña, Miguel A. and Mena, Gabriel A. and Yagüe, Agustín",IEEE Access,2019,Marcelo Pinto,07 Feb 2024 13:06:31,Duplicated
A Cloud-Based Framework for Machine Learning Workloads and Applications,"López García, Álvaro and De Lucas, Jesús Marco and Antonacci, Marica and Zu Castell, Wolfgang and David, Mario and Hardt, Marcus and Lloret Iglesias, Lara and Moltó, Germán and Plociennik, Marcin and Tran, Viet and Alic, Andy S. and Caballer, Miguel and Plasencia, Isabel Campos and Costantini, Alessandro and Dlugolinsky, Stefan and Duma, Doina Cristina and Donvito, Giacinto and Gomes, Jorge and Heredia Cacha, Ignacio and Ito, Keiichi and Kozlov, Valentin Y. and Nguyen, Giang and Orviz Fernández, Pablo and Šustr, Zděnek and Wolniewicz, Pawel",IEEE Access,2020,Marcelo Pinto,07 Feb 2024 18:02:30,Rejected
Context-Aware Software Vulnerability Classification Using Machine Learning,"Siewruk, Grzegorz and Mazurczyk, Wojciech",IEEE Access,2021,Marcelo Pinto,07 Feb 2024 18:02:30,Rejected
SmartX Multi-Sec: A Visibility-Centric Multi-Tiered Security Framework for Multi-Site Cloud-Native Edge Clusters,"Shin, Jun-Sik and Kim, Jongwon",IEEE Access,2021,Marcelo Pinto,07 Feb 2024 18:02:30,Rejected
Self-Service Cybersecurity Monitoring as Enabler for DevSecOps,"Díaz, Jessica and Pérez, Jorge E. and Lopez-Peña, Miguel A. and Mena, Gabriel A. and Yagüe, Agustín",IEEE Access,2019,Marcelo Pinto,07 Feb 2024 18:02:30,Accepted
"Embracing IaC Through the DevSecOps Philosophy: Concepts, Challenges, and a Reference Framework","Alonso, Juncal and Piliszek, Radosław and Cankar, Matija",IEEE Software,2023,Marcelo Pinto,07 Feb 2024 18:02:30,Duplicated
Analysis on the Use of Declarative and Pull-based Deployment Models on GitOps Using Argo CD,"Ramadoni and Utami, Ema and Fatta, Hanif Al",,2021,Marcelo Pinto,07 Feb 2024 18:02:30,Accepted
Infrastructure as Code as a Foundational Technique for Increasing the DevOps Maturity Level: Two Case Studies,"Souza, Isac Sacchi e and Franco, Daniel Pinheiro and Silva, João Pedro São Gregorio",IEEE Software,2023,Marcelo Pinto,07 Feb 2024 18:02:30,Accepted
"Unifying Governance, Risk and Controls Framework Using SDLC, CICD and DevOps","Ganugapati, Sai Alekhya and Prabhu, Sandeep",,2023,Marcelo Pinto,07 Feb 2024 18:02:30,Accepted
"DevSecOps in Practice with VMware Tanzu: Build, run, and manage secure multi-cloud apps at scale on Kubernetes with the Tanzu portfolio","Pandit, Parth and Hardt, Robert",,2023,Marcelo Pinto,07 Feb 2024 18:02:30,Accepted
Design and Practice of Security Architecture via DevSecOps Technology,"Chen, Tao and Suo, Haiyan",,2022,Marcelo Pinto,07 Feb 2024 18:02:30,Accepted
Implementing and Automating Security Scanning to a DevSecOps CI/CD Pipeline,"Marandi, Manohar and Bertia, A. and Silas, Salaja",,2023,Marcelo Pinto,07 Feb 2024 18:02:29,Accepted
Development of an Alignment Model for the Implementation of DevOps in SMEs: An Exploratory Study,"Sanjeetha, Mohamed B. Fathima and Ali, Ghassan Ahmed and Nawaz, Samsudeen Sabraz and Almawgani, Abdulkarem H. M. and Ali, Yahya Ali Abdelrahman",IEEE Access,2023,Marcelo Pinto,07 Feb 2024 18:02:30,Duplicated
Secure Software Development: Issues and Challenges,"Ping, Sam Wen and Wah, Jeffrey Cheok Jun and Jie, Lee Wenand Han, Jeremy Bong Yong and Muzafar, Saira",,2023,Marcelo Pinto,06 Feb 2024 21:39:36,Accepted
{SD-WAN} threat landscape,"Gordeychik, Sergey and Kolegov, Denis",,2018,Marcelo Pinto,06 Feb 2024 21:39:35,Rejected
Exploring relevant artifacts of release notes: Thepractitioners' perspective,"Nath, Sristy Sumana and Roy, Banani",,2022,Marcelo Pinto,06 Feb 2024 21:39:35,Rejected
Deep-learning-based vulnerability detection in binaryexecutables,"Schaad, Andreas and Binder, Dominik",,2022,Marcelo Pinto,06 Feb 2024 21:39:35,Rejected
A novel approach to identify security controls in sourcecode,"Okutan, Ahmet and Shokri, Ali and Koscinski, Viktoria andFazelinia, Mohamad and Mirakhorli, Mehdi",,2023,Marcelo Pinto,06 Feb 2024 21:39:36,Rejected
Machine learning based approach to recommend {MITRE}{ATT\&CK} framework for software requirements and design specifications,"Lasky, Nicholas and Hallis, Benjamin and Vanamala, Mounikaand Dave, Rushit and Seliya, Jim",,2023,Marcelo Pinto,06 Feb 2024 21:39:36,Accepted
{InferFix}: End-to-end program repair with {LLMs},"Jin, Matthew and Shahriar, Syed and Tufano, Michele and Shi,Xin and Lu, Shuai and Sundaresan, Neel and Svyatkovskiy,Alexey",,2023,Marcelo Pinto,06 Feb 2024 21:39:36,Accepted
Mitigating risks in software development through effectiverequirements engineering,"Burkin, Valentin",,2023,Marcelo Pinto,06 Feb 2024 21:39:36,Accepted
Vulnerable source code detection using {SonarCloud} codeanalysis,"Puspaningrum, Alifia and Hilmi, Muhammad Anis Al and{Darsih} and Mustamiin, Muhamad and Ginanjar, Maulana Ilham",,2023,Marcelo Pinto,06 Feb 2024 21:39:36,Rejected
Toward Successful DevOps: A Decision-Making Framework,"Akbar, Muhammad Azeem and Rafi, Saima and Alsanad, Abeer Abdulaziz and Qadri, Syed Furqan and Alsanad, Ahmed and Alothaim, Abdulrahman",IEEE Access,2022,Marcelo Pinto,07 Feb 2024 13:06:31,Rejected
A Machine Learning Based Monitoring Framework for Side-Channel Information Leaks,"Lescisin, Michael and Mahmoud, Qusay H.",IEEE Open Journal of the Computer Society,2021,Marcelo Pinto,07 Feb 2024 13:06:31,Rejected
Architecting Digital Twins,"Ferko, Enxhi and Bucaioni, Alessio and Behnam, Moris",IEEE Access,2022,Marcelo Pinto,07 Feb 2024 13:06:31,Rejected
Prioritization Based Taxonomy of DevOps Challenges Using Fuzzy AHP Analysis,"Akbar, Muhammad Azeem and Naveed, Wishal and Mahmood, Sajjad and Alsanad, Abeer Abdulaziz and Alsanad, Ahmed and Gumaei, Abdu and Mateen, Ahmed",IEEE Access,2020,Marcelo Pinto,07 Feb 2024 13:06:31,Rejected
Comparison and Evaluation on Static Application Security Testing (SAST) Tools for Java,"Li, Kaixuan and Chen, Sen and Fan, Lingling and Feng, Ruitao and Liu, Han and Liu, Chengwei and Liu, Yang and Chen, Yixiang",ESEC/FSE 2023 - Proceedings of the 31st ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering,2023,Marcelo Pinto,07 Feb 2024 12:52:29,Duplicated
Practical Core Software Security: A Reference Framework,"Ransome, James F and Misra, Anmol and Merkow, Mark S",None,2022,Marcelo Pinto,06 Feb 2024 20:54:41,Duplicated
Software composition analysis for vulnerability detection: An empirical study on Java projects,"Zhao, Lida and Chen, Sen and Xu, Zhengzi and Liu, Chengwei and Zhang, Lyuye and Wu, Jiahui and Sun, Jun and Liu, Yang",None,2023,Marcelo Pinto,06 Feb 2024 20:54:41,Duplicated
Challenges and solutions when adopting DevSecOps: A systematic review,"Rajapakse, Roshan N and Zahedi, Mansooreh and Babar, M Ali and Shen, Haifeng",arXiv preprint arXiv:2103.08266,2021,Marcelo Pinto,06 Feb 2024 20:54:40,Duplicated
Building secure cars: assuring the automotive software development lifecycle,"Oka, Dennis Kengo",None,2021,Marcelo Pinto,06 Feb 2024 20:54:41,Duplicated
Cloud Reliability,"Izrailevsky, Yury and Bell, Charlie",IEEE Cloud Computing,2018,Marcelo Pinto,07 Feb 2024 13:06:31,Rejected
Within-Project Defect Prediction of Infrastructure-as-Code Using Product and Process Metrics,"Dalla Palma, Stefano and Di Nucci, Dario and Palomba, Fabio and Tamburri, Damian A.",IEEE Transactions on Software Engineering,2022,Marcelo Pinto,07 Feb 2024 13:06:31,Accepted
A Survey on Observability of Distributed Edge & Container-Based Microservices,"Usman, Muhammad and Ferlin, Simone and Brunstrom, Anna and Taheri, Javid",IEEE Access,2022,Marcelo Pinto,07 Feb 2024 13:06:31,Rejected
Development of an Alignment Model for the Implementation of DevOps in SMEs: An Exploratory Study,"Sanjeetha, Mohamed B. Fathima and Ali, Ghassan Ahmed and Nawaz, Samsudeen Sabraz and Almawgani, Abdulkarem H. M. and Ali, Yahya Ali Abdelrahman",IEEE Access,2023,Marcelo Pinto,07 Feb 2024 13:06:31,Rejected
"Embracing IaC Through the DevSecOps Philosophy: Concepts, Challenges, and a Reference Framework","Alonso, Juncal and Piliszek, Radosław and Cankar, Matija",IEEE Software,2023,Marcelo Pinto,07 Feb 2024 13:06:31,Accepted
A DevSecOps-enabled Framework for Risk Management of Critical Infrastructures,"Ramaj, Xhesika",,2022,Marcelo Pinto,07 Feb 2024 13:06:31,Duplicated
Applying and Researching DevOps: A Tertiary Study,"Arvanitou, Elvira Maria and Ampatzoglou, Apostolos and Bibi, Stamatia and Chatzigeorgiou, Alexander and Deligiannis, Ignatios",IEEE Access,2022,Marcelo Pinto,07 Feb 2024 13:06:31,Accepted
Towards Agile Cybersecurity Risk Management for Autonomous Software Engineering Teams,"Salin, Hannes and Lundgren, Martin",Journal of Cybersecurity and Privacy,2022,Marcelo Pinto,07 Feb 2024 12:52:29,Rejected
Open Source Software Computed Risk Framework,"Chapman, Jon and Venugopalan, Hari",International Scientific and Technical Conference on Computer Sciences and Information Technologies,2022,Marcelo Pinto,07 Feb 2024 12:52:29,Rejected
Ambush from All Sides: Understanding Security Threats in Open-Source Software CI/CD Pipelines,"Pan, Ziyue and Shen, Wenbo and Wang, Xingkai and Yang, Yutian and Chang, Rui and Liu, Yao and Liu, Chengwei and Liu, Yang and Ren, Kui",IEEE Transactions on Dependable and Secure Computing,2024,Marcelo Pinto,07 Feb 2024 12:52:29,Accepted
Towards automated security design flaw detection,"Sion, Laurens and Tuma, Katja and Scandariato, Riccardo and Yskout, Koen and Joosen, Wouter","Proceedings - 2019 34th IEEE/ACM International Conference on Automated Software Engineering Workshops, ASEW 2019",2019,Marcelo Pinto,07 Feb 2024 12:52:29,Accepted
The evolution of distributed systems towards microservices architecture,"Salah, Tasneem and Zemerly, M. Jamal and Yeun, Chan Yeob and Al-Qutayri, Mahmoud and Al-Hammadi, Yousof","2016 11th International Conference for Internet Technology and Secured Transactions, ICITST 2016",2017,Marcelo Pinto,07 Feb 2024 12:52:29,Accepted
CD3T: Cross-project dependency defect detection tool,"Yao, Yongming and Huang, Song and Feng, Cuiyi and Liu, Chen and Xu, Chenying",International Journal of Performability Engineering,2019,Marcelo Pinto,07 Feb 2024 12:52:29,Accepted
Architectural tactics in software architecture: A systematic mapping study,"Márquez, Gastón and Astudillo, Hernán and Kazman, Rick",Journal of Systems and Software,2023,Marcelo Pinto,07 Feb 2024 12:52:29,Rejected
From virtualization security issues to cloud protection opportunities: An in-depth analysis of system virtualization models,"Compastié, Maxime and Badonnel, Rémi and Festor, Olivier and He, Ruan",Computers and Security,2020,Marcelo Pinto,07 Feb 2024 12:52:29,Rejected
Service Function Chaining security survey: Addressing security challenges and threats,"Pattaranantakul, Montida and Vorakulpipat, Chalee and Takahashi, Takeshi",Computer Networks,2023,Marcelo Pinto,07 Feb 2024 12:52:29,Rejected
"SEAF: A Scalable, Efficient, and Application-independent Framework for container security detection","Chen, Libo and Xia, Yihang and Ma, Zhenbang and Zhao, Ruijie and Wang, Yanhao and Liu, Yue and Sun, Wenqi and Xue, Zhi",Journal of Information Security and Applications,2022,Marcelo Pinto,07 Feb 2024 12:52:29,Accepted
The PREVENT-Model: Human and Organizational Factors Fostering Engineering of Safe and Secure Robotic Systems,"Glasauer, Christina",Journal of Systems and Software,2023,Marcelo Pinto,07 Feb 2024 12:52:29,Rejected
From DevOps to DevSecOps is not enough. CyberDevOps: an extreme shifting-left architecture to bring cybersecurity within software security lifecycle pipeline,"Lombardi, Federico and Fanton, Alberto",Software Quality Journal,2023,Marcelo Pinto,07 Feb 2024 12:52:29,Accepted
An Approach to Characterize the Security of Open-Source Functions using LSP,"Pereira, José D'Abruzzo and Vieira, Marco","Proceedings - International Symposium on Software Reliability Engineering, ISSRE",2023,Marcelo Pinto,07 Feb 2024 12:52:29,Rejected
Building next generation Cyber Ranges with CRACK,"Russo, Enrico and Costa, Gabriele and Armando, Alessandro",Computers and Security,2020,Marcelo Pinto,07 Feb 2024 12:52:29,Rejected
Generating Tests for the Discovery of Security Flaws in Product Variants,"Araujo, Francisco and Medeiros, Iberia and Neves, Nuno","Proceedings - 2020 IEEE 13th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2020",2020,Marcelo Pinto,07 Feb 2024 12:52:29,Accepted
Reproducible Software Vulnerability Testing with IaC,"Akasaka, Kohei and Nakamura, Akihito","Proceedings - 2020 International Conference on Computational Science and Computational Intelligence, CSCI 2020",2020,Marcelo Pinto,07 Feb 2024 12:52:29,Accepted
Towards a Deep Learning Model for Vulnerability Detection on Web Application Variants,"Fidalgo, Ana and Medeiros, Iberia and Antunes, Paulo and Neves, Nuno","Proceedings - 2020 IEEE 13th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2020",2020,Marcelo Pinto,07 Feb 2024 12:52:29,Rejected
Assurance for CyberPhysical Systems: Addressing Supply Chain Challenges to Trustworthy Software-Enabled Things,"Martin, Robert Alan","Systems Security Symposium, SSS 2020 - Conference Proceedings",2020,Marcelo Pinto,07 Feb 2024 12:52:29,Rejected
A novel Security-by-Design methodology: Modeling and assessing security by SLAs with a quantitative approach,"Casola, Valentina and De Benedictis, Alessandra and Rak, Massimiliano and Villano, Umberto",Journal of Systems and Software,2020,Marcelo Pinto,07 Feb 2024 12:52:29,Accepted
DevOps for containerized applications,"Biener, Adam S. and Crawford, Andrea C.",Advances in Intelligent Systems and Computing,2019,Marcelo Pinto,07 Feb 2024 12:52:29,Accepted
Efficient Software Defined Systems Using Common Core Components,"Lee, Hyungro and Fox, Geoffrey C.","IEEE International Conference on Cloud Computing, CLOUD",2017,Marcelo Pinto,07 Feb 2024 12:52:29,Rejected
A model-based mode-switching framework based on security vulnerability scores,"Riegler, Michael and Sametinger, Johannes and Vierhauser, Michael and Wimmer, Manuel",Journal of Systems and Software,2023,Marcelo Pinto,07 Feb 2024 12:52:29,Accepted
Secure Software Development in the Era of Fluid Multi-party Open Software and Services,"Pashchenko, Ivan and Scandariato, Riccardo and Sabetta, Antonino and Massacci, Fabio",Proceedings - International Conference on Software Engineering,2021,Marcelo Pinto,07 Feb 2024 12:52:29,Accepted
A novel autonomous container-based platform for cybersecurity training and research,"Chouliaras, Nestoras and Kantzavelou, Ioanna and Maglaras, Leandros and Pantziou, Grammati and Ferrag, Mohamed Amine",PeerJ Computer Science,2023,Marcelo Pinto,07 Feb 2024 12:52:29,Rejected
An automated closed-loop framework to enforce security policies from anomaly detection,"Henriques, João and Caldeira, Filipe and Cruz, Tiago and Simões, Paulo",Computers and Security,2022,Marcelo Pinto,07 Feb 2024 12:52:29,Rejected
DAVS: Dockerfile Analysis for Container Image Vulnerability Scanning,"Doan, Thien-Phuc and Jung, Souhwan","Computers, Materials and Continua",2022,Marcelo Pinto,07 Feb 2024 12:52:29,Accepted
Containers’ Privacy and Data Protection via Runtime Scanning Methods,"Rojo, Francisco and Pan, Lei","Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST",2022,Marcelo Pinto,07 Feb 2024 12:52:29,Accepted
Docker ecosystem – Vulnerability Analysis,"Martin, A. and Raponi, S. and Combe, T. and Di Pietro, R.",Computer Communications,2018,Marcelo Pinto,07 Feb 2024 12:52:29,Rejected
Cataloging GitHub repositories,"Sharma, Abhishek and Thung, Ferdian and Kochhar, Pavneet Singh and Sulistya, Agus and Lo, David",ACM International Conference Proceeding Series,2017,Marcelo Pinto,07 Feb 2024 12:52:29,Rejected
Integrating Security into Software Development Lifecycle: An Experience Return; [Retour d'expérience d'intégration des principes de sécurité dans un cycle de développement logiciel],"Butti, Laurent",CEUR Workshop Proceedings,2021,Marcelo Pinto,07 Feb 2024 12:52:29,Rejected
Empirical cloud security: Practical intelligence to evaluate risks and attacks,"Sood, Aditya K.",Empirical Cloud Security: Practical Intelligence to Evaluate Risks and Attacks,2023,Marcelo Pinto,07 Feb 2024 12:52:29,Rejected
Topical issues related to certification tests of information security tools,"Varenitca, Vitali V. and Markov, Alexey S. and Naschokin, Pavel A.",CEUR Workshop Proceedings,2021,Marcelo Pinto,07 Feb 2024 12:52:29,Accepted
Keyword Extraction From Specification Documents for Planning Security Mechanisms,"Poozhithara, Jeffy Jahfar and Asuncion, Hazeline U. and Lagesse, Brent",Proceedings - International Conference on Software Engineering,2023,Marcelo Pinto,07 Feb 2024 12:52:29,Accepted
Agile methods for improved cyber operations planning,"Carroll, Jami M.","European Conference on Information Warfare and Security, ECCWS",2023,Marcelo Pinto,07 Feb 2024 12:52:29,Rejected
